Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
1,Predicates,128,3,8,4,V,DiffSubj,schildert,schildert,300
1,Predicates,129,2,1,1,V,DiffSubj,krijgt,krijgt,300
1,Predicates,130,3,1,4,V,DiffSubj,springt,springt,300
1,Predicates,131,3,1,3,V,DiffPred,bidt,helpt,-60
1,Predicates,132,4,1,4,V,DiffPred,danst,valt aan,-180
1,Predicates,133,4,7,4,A,DiffPred,roze,trage,-240
1,Predicates,134,4,2,2,A,DiffSubj,trage,trage,300
1,Predicates,135,2,3,3,V,DiffSubj,pakt,pakt,300
1,Predicates,136,1,1,2,A,DiffPred,enge,dramatische,39
1,Predicates,137,2,1,1,V,DiffSubj,koopt,koopt,300
1,Predicates,138,1,8,2,V,DiffSubj,valt aan,valt aan,300
1,Predicates,139,2,3,4,V,DiffSubj,zit,zit,300
1,Predicates,140,1,3,1,A,DiffPred,boze,verdrietige,-204
1,Predicates,141,2,8,3,V,DiffPred,koopt,krijgt,-222
1,Predicates,142,3,7,1,A,DiffPred,magere,leuke,-237
1,Predicates,143,4,1,4,A,DiffSubj,onbeleefde,onbeleefde,300
1,Predicates,144,1,2,1,V,DiffSubj,verstopt,verstopt,300
1,Predicates,145,4,7,3,V,DiffPred,verstopt,verbergt,204
1,Predicates,146,4,3,4,A,DiffPred,oranje,drukke,-165
1,Predicates,147,4,7,2,A,DiffPred,matige,geschikte,-228
1,Predicates,148,4,1,3,V,DiffPred,vangt,gooit,-204
1,Predicates,149,4,8,1,A,DiffSubj,heldhaftige,heldhaftige,300
1,Predicates,150,4,7,1,A,DiffSubj,depressieve,depressieve,300
1,Predicates,151,2,6,4,A,DiffPred,jonge,zachte,-150
1,Predicates,152,4,8,4,V,DiffSubj,typt,typt,300
1,Predicates,153,3,8,3,A,DiffPred,blije,teleurgestelde,-210
1,Predicates,154,3,3,2,V,DiffSubj,geeft,geeft,300
1,Predicates,155,1,8,4,V,DiffPred,typt,veroordeelt,-282
1,Predicates,156,3,1,4,V,DiffSubj,valt,valt,300
1,Predicates,157,3,1,3,V,DiffPred,helpt,bidt,-6
1,Predicates,158,1,6,4,V,DiffSubj,citeert,citeert,300
1,Predicates,159,4,6,1,V,DiffPred,verlaat,betreedt,-231
1,Predicates,160,4,8,1,A,DiffSubj,dappere,dappere,300
1,Predicates,161,4,8,1,V,DiffSubj,gooit,gooit,300
1,Predicates,162,3,7,3,A,DiffSubj,sterke,sterke,300
1,Predicates,163,2,3,3,V,DiffPred,ziet,pakt,-204
1,Predicates,164,3,8,3,A,DiffPred,teleurgestelde,blije,-162
1,Predicates,165,3,8,4,V,DiffSubj,bereidt,bereidt,300
1,Predicates,166,4,6,3,A,DiffSubj,verdrietige,verdrietige,300
1,Predicates,167,3,8,2,A,DiffSubj,knappe,knappe,300
1,Predicates,168,3,8,3,A,DiffSubj,teleurgestelde,teleurgestelde,300
1,Predicates,169,4,3,4,V,DiffSubj,wint,wint,300
1,Predicates,170,2,3,2,V,DiffPred,besproeit,geeft,-234
1,Predicates,171,4,1,3,V,DiffPred,gooit,vangt,-210
1,Predicates,172,1,1,1,A,DiffSubj,blauwe,blauwe,300
1,Predicates,173,4,6,3,A,DiffSubj,boze,boze,300
1,Predicates,174,4,7,3,A,DiffSubj,glimmende,glimmende,300
1,Predicates,175,2,7,1,A,DiffSubj,magere,magere,300
1,Predicates,176,1,7,1,A,DiffPred,depressieve,sombere,225
1,Predicates,177,2,3,3,V,DiffPred,pakt,ziet,-171
1,Predicates,178,3,3,4,A,DiffPred,gladde,groene,-240
1,Predicates,179,4,3,2,V,DiffPred,citeert,brabbelt,-138
1,Predicates,180,2,8,4,A,DiffPred,bruine,luidruchtige,-177
1,Predicates,181,3,8,1,A,DiffPred,harde,ruwe,174
1,Predicates,182,2,3,3,A,DiffSubj,energieke,energieke,300
1,Predicates,183,1,8,4,V,DiffPred,veroordeelt,typt,-135
1,Predicates,184,3,8,3,A,DiffSubj,blije,blije,300
1,Predicates,185,1,2,2,V,DiffPred,wijst af,fluit,-66
1,Predicates,186,4,7,2,V,DiffSubj,fraudeert,fraudeert,300
1,Predicates,187,4,3,1,V,DiffPred,betovert,hypnotiseert,129
1,Predicates,188,1,6,2,V,DiffPred,wandelt,wint,-177
1,Predicates,189,2,6,3,V,DiffSubj,zingt,zingt,300
1,Predicates,190,4,1,4,A,DiffSubj,botte,botte,300
1,Predicates,191,4,7,1,V,DiffPred,verdedigt,beschermt,144
1,Predicates,192,4,2,1,A,DiffPred,glanzende,glimmende,168
3,Nouns,1,3,6,3,A,DiffPred,bezoeker,bezoeker,300
3,Nouns,2,4,3,1,A,Opposite,koning,hertog,144
